
=== AGV maze solver ===
RESET: power-on BROWNOUT  raw=5 
calibrating gyro, hold still...
offZ=-85 offX=-249 offY=-23 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,11,999,999,1,0,0,3,0,0,0,0,0,0,0,0,0,-256,-27,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,17,-248,-30,0,0
0,11,69,11,1,1,0,3,0,0,0,0,0,0,0,0,6,-252,-26,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,7,-241,-30,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-8,-250,-29,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-5,-250,-17,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-1,-242,-18,0,0
0,12,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-20,-238,-11,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-12,-251,-19,0,0
0,12,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-1,-254,-12,0,0
0,12,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-7,-250,-28,0,0
0,12,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-13,-249,-21,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-16,-257,-11,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-10,-247,-29,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-5,-244,-10,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-9,-257,-8,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-9,-243,-11,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-7,-258,-40,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,-15,-248,-11,0,0
0,11,999,11,1,1,0,3,0,0,0,0,0,0,0,0,4,-242,-27,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,8,-249,-30,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,1,-247,-17,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,0,-253,-25,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,-5,-250,-7,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,-1,-240,-37,0,0
0,11,999,10,1,1,0,3,0,0,0,0,0,0,0,0,7,-259,-14,0,0
0,12,999,10,1,1,0,0,1,-2,-1,3,2,77,73,1,419,413,970,1,0
0,12,60,10,1,1,0,0,0,-2,-3,-1,-4,71,79,0,-212,-481,150,1,0
0,12,57,10,1,1,0,0,0,-2,-3,8,5,80,70,0,1022,-578,-963,1,0
0,12,57,10,1,1,0,0,0,-2,-3,2,-1,74,76,0,252,507,1066,1,0
0,12,58,9,1,1,0,0,1,-3,-2,3,1,76,74,1,425,-529,1022,1,0
0,11,58,9,1,1,0,0,0,-2,-3,7,4,79,71,0,902,-1070,18,1,0
0,11,999,10,1,1,0,0,0,-1,-1,4,3,78,72,0,544,569,624,1,0
0,12,65,10,1,1,0,0,0,-2,-3,7,4,79,71,0,843,111,281,1,0
0,11,58,11,1,1,0,0,0,0,0,6,6,81,69,0,827,-1066,193,1,0
0,10,52,11,1,1,0,0,0,1,1,1,2,77,73,0,156,-383,-573,1,0
0,9,45,11,1,1,0,0,1,2,1,4,5,80,70,1,551,393,-2221,1,0
0,9,44,12,1,1,0,0,1,3,2,6,8,83,67,1,816,-423,-2875,1,0
0,8,38,12,1,1,0,0,2,0,0,0,35,95,60,1,-817,-1040,-2585,1,0
0,7,31,13,1,1,0,0,2,0,0,0,35,95,60,0,-1289,-1809,847,1,0
0,9,25,12,1,1,0,0,0,3,4,-19,-15,60,90,0,-2284,-1389,-1764,1,0
MODE1: front obstacle -- stopped
0,12,21,12,1,1,0,0,0,0,0,0,0,0,0,0,-341,92,-742,1,0
0,15,14,11,1,1,0,0,0,0,0,0,0,0,0,0,-604,247,-276,1,0
0,16,11,6,1,1,0,0,0,0,0,0,0,0,0,0,-496,-263,-13,1,0
0,16,7,5,1,1,0,0,0,0,0,0,0,0,0,0,-322,-333,41,1,0
0,15,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-498,-171,138,1,0
0,15,5,5,1,1,0,0,0,0,0,0,0,0,0,0,237,-265,54,1,0
0,15,6,5,1,1,0,0,0,0,0,0,0,0,0,0,23,-264,-30,1,0
0,15,6,5,1,1,0,0,0,0,0,0,0,0,0,0,13,-254,-22,1,0
0,15,6,5,1,1,0,0,0,0,0,0,0,0,0,0,-12,-248,-30,1,0
0,16,6,5,1,1,0,0,0,0,0,0,0,0,0,0,-8,-249,-16,1,0
0,16,6,5,1,1,0,0,0,0,0,0,0,0,0,0,-11,-244,-25,1,0
0,16,6,5,1,1,0,0,0,0,0,0,0,0,0,0,4,-254,-16,1,0
0,16,6,5,1,1,0,0,0,0,0,0,0,0,0,0,-5,-241,-15,1,0
0,16,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-14,-250,-25,1,0
0,16,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-15,-244,-34,1,0
0,16,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-11,-245,-35,1,0
0,15,5,5,1,1,0,0,0,0,0,0,0,0,0,0,4,-238,-38,1,0
0,15,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-1,-259,-36,1,0
0,15,5,5,1,1,0,0,0,0,0,0,0,0,0,0,9,-246,-31,1,0
0,16,5,5,1,1,0,0,0,0,0,0,0,0,0,0,-4,-250,-9,1,0
