
=== AGV maze solver ===
RESET: power-on BROWNOUT  raw=5 
calibrating gyro, hold still...
offZ=-85 offX=-248 offY=-25 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,3,-247,-17,1,0
0,7,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-3,-255,-19,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,-15,-244,-31,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-7,-237,-19,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,0,-250,-22,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,15,-240,-16,1,0
0,8,16,16,1,1,0,0,0,0,0,0,0,0,0,0,5,-252,-12,1,0
0,8,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-7,-247,-32,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-2,-251,-23,1,0
0,9,17,15,1,1,0,0,0,0,0,0,0,0,0,0,-12,-253,-15,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,2,-239,-8,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-16,-242,-22,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,11,-255,-82,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,2,-245,-34,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-26,-251,-5,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,3,-258,-25,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,7,-252,-23,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-10,-249,-15,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,0,-244,-23,1,0
0,9,16,15,1,1,0,0,0,0,0,0,0,0,0,0,-19,-240,-19,1,0
