
=== AGV maze solver ===
RESET: BROWNOUT  raw=4 
calibrating gyro, hold still...
offZ=-83 offX=-248 offY=-24 
# st,L,F,R,lok,rok,near,md,br,err,wt,gt,corr,pwmL,pwmR,rock,rate,gx,gy,ovr,drop
0,12,999,999,1,0,0,3,0,0,0,0,0,0,0,0,-3,-234,-15,0,0
0,12,60,16,1,1,0,3,0,0,0,0,0,0,0,0,-24,-244,-14,0,0
0,12,60,16,1,1,0,3,0,0,0,0,0,0,0,0,19,-243,-24,0,0
0,12,60,16,1,1,0,3,0,0,0,0,0,0,0,0,14,-250,-20,0,0
0,12,61,16,1,1,0,3,0,0,0,0,0,0,0,0,-11,-241,-6,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,-17,-250,-26,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,-5,-243,-21,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,8,-254,-17,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,-9,-248,-27,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,-12,-265,-26,0,0
0,12,61,16,1,1,0,3,0,0,0,0,0,0,0,0,-19,-236,-25,0,0
0,12,61,16,1,1,0,3,0,0,0,0,0,0,0,0,-6,-241,-41,0,0
0,12,61,16,1,1,0,3,0,0,0,0,0,0,0,0,-7,-239,-11,0,0
0,12,61,16,1,1,0,3,0,0,0,0,0,0,0,0,16,-250,-34,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,2,-249,-19,0,0
0,12,62,16,1,1,0,3,0,0,0,0,0,0,0,0,-17,-256,-31,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,1,-252,-24,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,-20,-254,-18,0,0
0,11,66,15,1,1,0,3,0,0,0,0,0,0,0,0,10,-237,-29,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,-7,-245,-51,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,-9,-232,-29,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,16,-251,-24,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,-11,-241,-21,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,6,-257,-12,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,-6,-245,-32,0,0
0,11,999,15,1,1,0,3,0,0,0,0,0,0,0,0,12,-239,-43,0,0
0,11,999,15,1,1,0,0,0,4,6,11,17,94,60,0,1404,59,-534,1,0
0,12,999,16,1,1,0,0,1,4,3,-6,-3,72,78,1,-747,-1043,214,1,0
0,11,999,16,1,1,0,0,1,5,3,1,4,79,71,1,122,-209,450,1,0
0,11,999,16,1,1,0,0,0,5,7,0,7,82,68,0,64,-142,-292,1,0
0,10,69,16,1,1,0,0,1,6,4,1,5,80,70,1,175,-210,-19,1,0
0,10,67,15,1,1,0,0,1,5,3,0,3,78,72,1,-49,-1116,2946,1,0
0,11,59,15,1,1,0,0,1,4,3,0,3,78,72,1,96,-600,-5660,1,0
0,10,53,16,1,1,0,0,1,6,4,0,4,79,71,1,44,-458,2098,1,0
0,9,46,16,1,1,0,0,1,7,5,-1,4,79,71,1,-237,-757,695,1,0
0,9,44,16,1,1,0,0,1,7,5,3,8,83,67,1,374,-119,-1369,1,0
0,9,39,15,1,1,0,0,1,6,4,3,7,82,68,1,379,-836,1186,1,0
0,10,32,15,1,1,0,0,0,5,7,-1,6,81,69,0,-171,1359,287,1,0
MODE1: front obstacle -- stopped
0,11,24,15,1,1,0,0,0,0,0,0,0,0,0,1,72,-543,-4898,1,0
0,12,18,14,1,1,0,0,0,0,0,0,0,0,0,1,-605,-213,-1472,1,0
0,12,14,14,1,1,0,0,0,0,0,0,0,0,0,1,114,-302,-673,1,0
0,12,11,11,1,1,0,0,0,0,0,0,0,0,0,0,-224,-510,1222,1,0
0,12,9,10,1,1,0,0,0,0,0,0,0,0,0,0,-89,-183,-176,1,0
0,13,8,10,1,1,0,0,0,0,0,0,0,0,0,0,179,-260,-29,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-116,-271,-45,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,1,-239,-27,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,-232,-37,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-7,-242,-22,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,-255,-34,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-14,-261,-15,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-2,-247,-20,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-3,-240,-46,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-2,-243,-27,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-3,-251,-25,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-12,-244,-21,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-9,-246,-20,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-18,-262,-25,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,0,-252,-42,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-23,-259,-36,1,0
0,13,8,11,1,1,0,0,0,0,0,0,0,0,0,0,4,-246,-25,1,0
0,13,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-8,-249,-11,1,0
0,13,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-13,-260,-17,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-2,-248,-12,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-13,-244,-25,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,-2,-247,-31,1,0
0,12,8,10,1,1,0,0,0,0,0,0,0,0,0,0,2,-253,-22,1,0
0,13,8,10,1,1,0,0,0,0,0,0,0,0,0,0,7,-252,-22,1,0
